si_code,biome_whittaker,biome
ARG_MAZ,Woodland/shrubland,Temperate Broadleaf & Mixed Forests
ARG_TRE,Woodland/shrubland,Temperate Broadleaf & Mixed Forests
AUS_BRI_BRI,Woodland/shrubland,Temperate Broadleaf & Mixed Forests
AUS_CAN_ST1_EUC,Woodland/shrubland,Temperate Broadleaf & Mixed Forests
AUS_CAN_ST2_MIX,Woodland/shrubland,Temperate Broadleaf & Mixed Forests
AUS_CAN_ST3_ACA,Woodland/shrubland,Temperate Broadleaf & Mixed Forests
AUS_CAR_THI_00F,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_CAR_THI_0P0,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_CAR_THI_0PF,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_CAR_THI_CON,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_CAR_THI_T00,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_CAR_THI_T0F,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_CAR_THI_TP0,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_CAR_THI_TPF,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_ELL_HB_HIG,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_ELL_MB_MOD,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_ELL_UNB,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_KAR,Desert,Deserts & Xeric Shrublands
AUS_MAR_HSD_HIG,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_MAR_HSW_HIG,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_MAR_MSD_MOD,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_MAR_MSW_MOD,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_MAR_UBD,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_MAR_UBW,Temperate forest,Temperate Broadleaf & Mixed Forests
AUS_RIC_EUC_ELE,Woodland/shrubland,Temperate Broadleaf & Mixed Forests
AUS_WOM,Temperate forest,Temperate Broadleaf & Mixed Forests
AUT_PAT_FOR,Boreal forest,Temperate Conifer Forests
AUT_PAT_KRU,Boreal forest,Temperate Conifer Forests
AUT_PAT_TRE,Boreal forest,Temperate Conifer Forests
AUT_TSC,Woodland/shrubland,Temperate Conifer Forests
BRA_CAM,Temperate forest,Tropical & Subtropical Moist Broadleaf Forests
BRA_CAX_CON,Tropical seasonal forest/savanna,Tropical & Subtropical Moist Broadleaf Forests
BRA_SAN,Temperate forest,Tropical & Subtropical Moist Broadleaf Forests
CAN_TUR_P39_POS,Temperate forest,Temperate Broadleaf & Mixed Forests
CAN_TUR_P39_PRE,Temperate forest,Temperate Broadleaf & Mixed Forests
CAN_TUR_P74,Temperate forest,Temperate Broadleaf & Mixed Forests
CHE_DAV_SEE,Temperate forest,Temperate Conifer Forests
CHE_LOT_NOR,Temperate forest,Temperate Conifer Forests
CHE_PFY_CON,Woodland/shrubland,Temperate Conifer Forests
CHE_PFY_IRR,Woodland/shrubland,Temperate Conifer Forests
CHN_ARG_GWD,Desert,Deserts & Xeric Shrublands
CHN_ARG_GWS,Temperate grassland desert,Deserts & Xeric Shrublands
CHN_HOR_AFF,Woodland/shrubland,Temperate Broadleaf & Mixed Forests
