si_code,biome
ARG_MAZ,temp
ARG_TRE,temp
AUS_BRI_BRI,wood
AUS_CAN_ST1_EUC,wood
AUS_CAN_ST2_MIX,wood
AUS_CAN_ST3_ACA,wood
AUS_CAR_THI_00F,temp
AUS_CAR_THI_0P0,temp
AUS_CAR_THI_0PF,temp
AUS_CAR_THI_CON,temp
AUS_CAR_THI_T00,temp
AUS_CAR_THI_T0F,temp
AUS_CAR_THI_TP0,temp
AUS_CAR_THI_TPF,temp
AUS_ELL_HB_HIG,temp
AUS_ELL_MB_MOD,temp
AUS_ELL_UNB,temp
AUS_KAR,dry
AUS_MAR_HSD_HIG,temp
AUS_MAR_HSW_HIG,temp
AUS_MAR_MSD_MOD,temp
AUS_MAR_MSW_MOD,temp
AUS_MAR_UBD,temp
AUS_MAR_UBW,temp
AUS_RIC_EUC_ELE,wood
AUS_WOM,temp
AUT_PAT_FOR,bor
AUT_PAT_KRU,bor
AUT_PAT_TRE,bor
AUT_TSC,temp
BRA_CAM,tro
BRA_CAX_CON,tro
BRA_SAN,tro
CAN_TUR_P39_POS,temp
CAN_TUR_P39_PRE,temp
CAN_TUR_P74,temp
CHE_DAV_SEE,temp
CHE_LOT_NOR,temp
CHE_PFY_CON,temp
CHE_PFY_IRR,temp
CHN_ARG_GWD,dry
CHN_ARG_GWS,dry
CHN_HOR_AFF,wood
CHN_YIN_ST1,dry
CHN_YIN_ST2_DRO,dry
CHN_YIN_ST3_DRO,dry
CHN_YUN_YUN,tro
COL_MAC_SAF_RAD,tro
CRI_TAM_TOW,tro
CZE_BIK,temp
CZE_BIL_BIL,temp
CZE_KRT_KRT,temp
CZE_LAN,temp
CZE_LIZ_LES,temp
CZE_RAJ_RAJ,temp
CZE_SOB_SOB,temp
CZE_STI,temp
CZE_UTE_BEE,temp
CZE_UTE_BNA,temp
CZE_UTE_BPO,temp
CZE_UTE_SPR,temp
DEU_HIN_OAK,temp
DEU_HIN_TER,temp
DEU_MER_BEE_NON,temp
DEU_MER_BEE_THI,temp
DEU_MER_DOU_NON,temp
DEU_MER_DOU_THI,temp
DEU_MER_MIX_NON,temp
DEU_MER_MIX_THI,temp
DEU_STE_2P3,temp
DEU_STE_4P5,temp
ESP_ALT_ARM,wood
ESP_ALT_HUE,wood
ESP_ALT_TRI,wood
ESP_CAN,wood
ESP_GUA_VAL,wood
ESP_LAH_COM,wood
ESP_LAS,wood
ESP_MAJ_MAI,wood
ESP_MAJ_NOR_LM1,wood
ESP_MON_SIE_NAT,wood
ESP_RIN,wood
ESP_RON_PIL,temp
ESP_SAN_A_45I,wood
ESP_SAN_A2_45I,wood
ESP_SAN_B_100,wood
ESP_SAN_B2_100,wood
ESP_TIL_MIX,wood
ESP_TIL_OAK,wood
ESP_TIL_PIN,wood
ESP_VAL_BAR,wood
ESP_VAL_SOR,wood
ESP_YUN_C1,wood
ESP_YUN_C2,wood
ESP_YUN_T1_THI,wood
ESP_YUN_T3_THI,wood
FIN_HYY_SME,temp
FIN_PET,bor
FRA_FON,temp
FRA_HES_HE1_NON,temp
FRA_HES_HE2_NON,temp
FRA_PUE,wood
GBR_ABE_PLO,temp
GBR_DEV_CON,temp
GBR_DEV_DRO,temp
GBR_GUI_ST1,temp
GBR_GUI_ST2,temp
GBR_GUI_ST3,temp
GUF_GUY_GUY,tro
GUF_GUY_ST2,tro
IDN_JAM_OIL,tro
IDN_JAM_RUB,tro
IDN_PON_STE,tro
ISR_YAT_YAT,dry
ITA_FEI_S17,temp
ITA_KAE_S20,bor
ITA_MAT_S21,bor
ITA_MUN,temp
ITA_REN,temp
ITA_RUN_N20,bor
ITA_TOR,temp
JPN_EBE_HYB,temp
JPN_EBE_SUG,temp
MDG_SEM_TAL,tro
MDG_YOU_SHO,tro
MEX_COR_YP,temp
MEX_VER_BSJ,temp
MEX_VER_BSM,temp
NLD_LOO,temp
NLD_SPE_DOU,temp
NZL_HUA_HUA,temp
PRT_LEZ_ARN,wood
PRT_MIT,wood
PRT_PIN,wood
RUS_CHE_LOW,bor
RUS_CHE_Y4,bor
RUS_FYO,temp
RUS_POG_VAR,temp
SEN_SOU_IRR,dry
SEN_SOU_POS,dry
SEN_SOU_PRE,dry
SWE_NOR_ST1_AF1,temp
SWE_NOR_ST1_AF2,temp
SWE_NOR_ST1_BEF,temp
SWE_NOR_ST2,temp
SWE_NOR_ST3,temp
SWE_NOR_ST4_AFT,temp
SWE_NOR_ST4_BEF,temp
SWE_NOR_ST5_REF,temp
SWE_SKO_MIN,temp
SWE_SKY_38Y,temp
SWE_SKY_68Y,temp
SWE_SVA_MIX_NON,temp
THA_KHU,tro
USA_CHE_ASP,temp
USA_CHE_MAP,temp
USA_DUK_HAR,temp
USA_HIL_HF1_POS,temp
USA_HIL_HF1_PRE,temp
USA_HIL_HF2,temp
USA_HUY_LIN_NON,temp
USA_INM,temp
USA_MOR_SF,temp
USA_NWH,temp
USA_ORN_ST1_AMB,temp
USA_ORN_ST2_AMB,temp
USA_ORN_ST3_ELE,temp
USA_ORN_ST4_ELE,temp
USA_PAR_FER,temp
USA_PJS_P04_AMB,dry
USA_PJS_P08_AMB,dry
USA_PJS_P12_AMB,dry
USA_SIL_OAK_1PR,temp
USA_SIL_OAK_2PR,temp
USA_SIL_OAK_POS,temp
USA_SMI_SCB,temp
USA_SMI_SER,temp
USA_SWH,temp
USA_SYL_HL2,temp
USA_TNB,temp
USA_TNO,temp
USA_TNP,temp
USA_TNY,temp
USA_UMB_CON,temp
USA_UMB_GIR,temp
USA_WIL_WC1,temp
USA_WIL_WC2,temp
USA_WVF,temp
UZB_YAN_DIS,dry
ZAF_FRA_FRA,wood
ZAF_NOO_E3_IRR,wood
ZAF_RAD,wood
ZAF_SOU_SOU,wood
ZAF_WEL_SOR,wood
GUF_NOU_PET,tro
HUN_SIK,wood
KOR_TAE_TC1_LOW,temp
KOR_TAE_TC2_MED,temp
KOR_TAE_TC3_EXT,temp
USA_BNZ_BLA,bor
USA_PER_PER,tro
