site_code,DOI
ARG_MAZ,https://doi.org/10.1007/s00468-013-0935-4
ARG_TRE,https://doi.org/10.1007/s00468-013-0935-4
AUS_BRI_BRI,unpublished
AUS_CAN_ST1_EUC,https://doi.org/10.1016/j.foreco.2009.07.036
AUS_CAN_ST2_MIX,https://doi.org/10.1016/j.foreco.2009.07.036
AUS_CAN_ST3_ACA,https://doi.org/10.1016/j.foreco.2009.07.036
AUS_CAR_THI_00F,https://doi.org/10.1016/j.foreco.2011.11.019
AUS_CAR_THI_0P0,https://doi.org/10.1016/j.foreco.2011.11.019
AUS_CAR_THI_0PF,https://doi.org/10.1016/j.foreco.2011.11.019
AUS_CAR_THI_CON,https://doi.org/10.1016/j.foreco.2011.11.019
AUS_CAR_THI_T00,https://doi.org/10.1016/j.foreco.2011.11.019
AUS_CAR_THI_T0F,https://doi.org/10.1016/j.foreco.2011.11.019
AUS_CAR_THI_TP0,https://doi.org/10.1016/j.foreco.2011.11.019
AUS_CAR_THI_TPF,https://doi.org/10.1016/j.foreco.2011.11.019
AUS_ELL_HB_HIG,https://doi.org/10.1016/j.jhydrol.2015.02.045
AUS_ELL_MB_MOD,https://doi.org/10.1016/j.jhydrol.2015.02.045
AUS_ELL_UNB,https://doi.org/10.1016/j.jhydrol.2015.02.045
AUS_KAR,unpublished
AUS_MAR_HSD_HIG,https://doi.org/10.1002/eco.1463
AUS_MAR_HSW_HIG,https://doi.org/10.1002/eco.1463
AUS_MAR_MSD_MOD,https://doi.org/10.1002/eco.1463
AUS_MAR_MSW_MOD,https://doi.org/10.1002/eco.1463
AUS_MAR_UBD,https://doi.org/10.1002/eco.1463
AUS_MAR_UBW,https://doi.org/10.1002/eco.1463
AUS_RIC_EUC_ELE,https://doi.org/10.1111/1365-2435.12532
AUS_WOM,https://doi.org/10.1016/j.foreco.2016.12.017
AUT_PAT_FOR,https://doi.org/10.1007/s10342-013-0760-8
AUT_PAT_KRU,https://doi.org/10.1007/s10342-013-0760-8
AUT_PAT_TRE,https://doi.org/10.1007/s10342-013-0760-8
AUT_TSC,https://doi.org/10.10167j.flora.2014.06.012
BRA_CAM,https://doi.org/10.1093/treephys/tpv001
BRA_CAX_CON,https://doi.org/10.1111/gcb.13851
BRA_SAN,https://doi.org/10.1016/j.agrformet.2012.02.002; https://doi.org/10.1007/s00468-015-1165-8; https://doi.org/10.1007/s00468-017-1527-5
BRA_SAN,https://doi.org/10.1016/j.agrformet.2012.02.002; https://doi.org/10.1007/s00468-015-1165-8; https://doi.org/10.1007/s00468-017-1527-5
CAN_TUR_P39_POS,https://doi.org/10.1016/j.agrformet.2010.04.008; https://doi.org/10.1002/hyp.9315
CAN_TUR_P39_PRE,https://doi.org/10.1016/j.agrformet.2010.04.008; https://doi.org/10.1002/hyp.9315
CAN_TUR_P74,https://doi.org/10.1016/j.agrformet.2010.04.008
CHE_DAV_SEE,https://doi.org/10.1007/s10021-011-9481-3
CHE_LOT_NOR,https://doi.org/10.1111/pce.13500
CHE_PFY_CON,https://doi.org/10.1093/treephys/tpp123
CHE_PFY_IRR,https://doi.org/10.1093/treephys/tpp123
CHN_ARG_GWD,https://doi.org/10.1016/j.foreco.2016.08.049
CHN_ARG_GWS,https://doi.org/10.1016/j.foreco.2016.08.049
CHN_HOR_AFF,https://doi.org/10.5194/bg-2017-69
CHN_YIN_ST1,https://doi.org/10.1016/j.foreco.2016.08.049
CHN_YIN_ST2_DRO,https://doi.org/10.1016/j.foreco.2016.08.049
CHN_YIN_ST3_DRO,https://doi.org/10.1016/j.foreco.2016.08.049
CHN_YUN_YUN,https://doi.org/10.5194/bg-11-5323-2014
COL_MAC_SAF_RAD,unpublished
CRI_TAM_TOW,https://doi.org/10.1002/hyp.10960
CZE_BIK,unpublished
CZE_BIL_BIL,unpublished
CZE_KRT_KRT,unpublished
CZE_LAN,unpublished;https://doi.org/10.1098/rstb.2019.0518
CZE_LIZ_LES,https://doi.org/10.2136/vzj2012.0154
CZE_RAJ_RAJ,https://doi.org/10.3832/ifor1307-007
CZE_SOB_SOB,https://doi. org/10.14214/sf.1760
CZE_STI,unpublished
CZE_UTE_BEE,unpublished
CZE_UTE_BNA,unpublished
CZE_UTE_BPO,unpublished
CZE_UTE_SPR,unpublished
DEU_HIN_OAK,unpublished;https://doi.org/10.2136/vzj2018.06.0116
DEU_HIN_TER,unpublished;https://doi.org/10.2136/vzj2018.06.0116
DEU_MER_BEE_NON,https://doi.org/10.4432/0300-4112-86-83
DEU_MER_BEE_THI,https://doi.org/10.4432/0300-4112-86-83
DEU_MER_DOU_NON,https://doi.org/10.4432/0300-4112-86-83
DEU_MER_DOU_THI,https://doi.org/10.4432/0300-4112-86-83
DEU_MER_MIX_NON,https://doi.org/10.4432/0300-4112-86-83
DEU_MER_MIX_THI,https://doi.org/10.4432/0300-4112-86-83
DEU_STE_2P3,https://doi.org/10.1051/forest:2007020; https://doi.org/10.3390/f11050537
DEU_STE_4P5,https://doi.org/10.1051/forest:2007020; https://doi.org/10.3390/f11050537
ESP_ALT_ARM,https://doi.org/10.1007/s11258-014-0351-x; https://doi.org/10.1093/treephys/tpy022; https://doi.org/10.1016/j.envexpbot.2018.08.006; https://doi.org/10.1016/j.agwat.2012.06.024
ESP_ALT_HUE,https://doi.org/10.1007/s11258-014-0351-x
ESP_ALT_TRI,unpublished; https://doi.org/10.1007/s10342-013-0687-0
ESP_CAN,https://doi.org/10.1016/j.agrformet.2015.03.012
ESP_GUA_VAL,https://doi.org/10.1093/jxb/erw121; https://doi.org/10.1093/treephys/tpw029
ESP_LAH_COM,https://doi.org/10.1007/s00271-015-0471-7
ESP_LAS,https://doi.org/10.1007/s10342-014-0779-5; https://doi.org/10.1016/j.agrformet.2014.11.008
ESP_MAJ_MAI,"Perez-Priego et al., under review"
ESP_MAJ_NOR_LM1,https://doi.org/10.1016/j.agrformet.2017.01.009
ESP_MON_SIE_NAT,https://doi.org/10.1016/j.agwat.2012.06.024; https://doi.org/10.1016/0378-1127(96)03729-2; https://doi.org/10.1007/s004680050229; https://doi.org/10.1016/j.actao.2004.01.003; https://doi.org/10.1007/s11258-004-7007-1; https://doi.org/10.1093/treephys/25.8.1041; https://doi.org/10.1007/s00468-007-0192-5; https://doi.org/10.1111/pce.12103
ESP_RIN,https://doi.org/10.1016/j.foreco.2008.03.004
ESP_RON_PIL,https://doi.org/10.3390/f10121132
ESP_SAN_A_45I,https://doi.org/10.1007/s11104-013-1704-2; https://doi.org/10.1016/j.agwat.2012.06.027; https://doi.org/10.1016/j.agrformet.2015.11.013
ESP_SAN_A2_45I,https://doi.org/10.1007/s11104-013-1704-2; https://doi.org/10.1016/j.agwat.2012.06.027; https://doi.org/10.1016/j.agrformet.2015.11.013
