si\_code,si\_name,si\_lat,si\_long,si\_elev,nspecies
ARG\_MAZ,Mazaruca\_Patagonia,-51.58,-72.29,550,1
ARG\_TRE,Tres Marias,-51.32,-72.19,460,1
AUS\_BRI\_BRI,Britannia Creek,-37.87,145.85,707,1
AUS\_CAN\_ST1\_EUC,Cann River,-37.58,149.17,180,1
AUS\_CAN\_ST2\_MIX,Cann River,-37.58,149.17,180,2
AUS\_CAN\_ST3\_ACA,Cann River,-37.58,149.17,180,1
AUS\_CAR\_THI\_00F,Carrajung,-38.38,146.68,610,1
AUS\_CAR\_THI\_0P0,Carrajung,-38.38,146.68,610,1
AUS\_CAR\_THI\_0PF,Carrajung,-38.38,146.68,610,1
AUS\_CAR\_THI\_CON,Carrajung,-38.38,146.68,610,1
AUS\_CAR\_THI\_T00,Carrajung,-38.38,146.68,610,1
AUS\_CAR\_THI\_T0F,Carrajung,-38.38,146.68,610,1
AUS\_CAR\_THI\_TP0,Carrajung,-38.38,146.68,610,1
AUS\_CAR\_THI\_TPF,Carrajung,-38.38,146.68,610,1
AUS\_ELL\_HB\_HIG,Ella,-36.78,146.58,705,2
AUS\_ELL\_MB\_MOD,Ella,-36.78,146.58,693,1
AUS\_ELL\_UNB,Ella,-36.78,146.58,737,1
AUS\_KAR,Karijini NP,-22.62,118.22,710,1
AUS\_MAR\_HSD\_HIG,Maroondah,-37.64,145.58,468,2
AUS\_MAR\_HSW\_HIG,Maroondah,-37.65,145.57,297,2
AUS\_MAR\_MSD\_MOD,Maroondah,-37.64,145.58,467,2
AUS\_MAR\_MSW\_MOD,Maroondah,-37.65,145.57,261,2
AUS\_MAR\_UBD,Maroondah,-37.69,145.56,303,3
AUS\_MAR\_UBW,Maroondah,-37.89,145.57,336,3
AUS\_RIC\_EUC\_ELE,Richmond NSW EucFACE,-33.62,150.74,23,1
AUS\_WOM,WombatStateForest,-37.42,144.09,705,2
AUT\_PAT\_FOR,Patscherkofel,47.21,11.45,1950,1
AUT\_PAT\_KRU,Patscherkofel,47.21,11.45,2180,1
AUT\_PAT\_TRE,Patscherkofel,47.21,11.45,2110,1
