Site code,\text{$R^2_{vpd}$},\text{$R^2_{swc}$},\text{$R^2_{ppfd}$},Relimp VPD,Relimp SWC,Relimp PPFD,PPET,\text{$P-PET_{sd}$},Clay,Sand,Total N,Bedrock,Stand height,LAI
AUS\_CAN\_ST1\_EUC,0.74,0.44,0.54,0.65,0.35,0,1.23,47.52,26.30 b,45.10 b,1.02,184,22.00 a,1.39 a
AUS\_CAN\_ST2\_MIX,0.91,0.65,0.76,0.87,0.13,0,1.23,47.52,26.30 b,45.10 b,1.02,184,21.80 a,2.07 a
AUS\_CAN\_ST3\_ACA,0.85,0.67,0.74,0.87,0.12,0.01,1.23,47.52,26.30 b,45.10 b,1.02,184,11.80 a,1.35 a
AUS\_CAR\_THI\_CON,0.67,0,0,0.99,0,0.01,1.36,49.01,27.20 b,44.30 b,2.34,111,17.21 a,4.80 a
AUS\_ELL\_UNB,0.87,0.44,0.76,0.97,0,0.03,1.08,67.16,26.70 b,48.50 b,1.95,63,25.00 a,6.20 b
AUS\_MAR\_UBD,0.79,0.53,0.69,0.71,0.29,0,1.35,70.37,26.60 b,44.60 b,1.9,89,25.00 a,2.10 a
AUS\_MAR\_UBW,0.9,0.81,0.82,0.9,0,0.09,1.21,65.38,27.90 b,43.90 b,2,173,40.00 a,2.30 a
AUS\_WOM,0.82,0.52,0.49,0.79,0,0.2,1.09,69.35,25.90 b,52.90 b,1.97,172,22.00 a,2.20 a
AUT\_PAT\_FOR,0.78,0.73,0.68,0.82,0.09,0.09,2.17,16.78, 5.00 a,60.00 a,3.94,180,12.00 a,4.30 b
AUT\_PAT\_KRU,0.61,0.45,0.5,0.77,0.06,0.17,2.17,16.78, 5.00 a,60.00 a,3.94,180, 0.75 a,4.30 b
AUT\_PAT\_TRE,0.58,0.27,0.19,0.7,0.3,0,2.17,16.78, 5.00 a,60.00 a,3.94,180, 4.00 a,4.30 b
BRA\_CAM,0.83,0.68,0.69,0.65,0.28,0.07,1.66,88.82,27.60 b,52.00 b,2.26,200,12.00 a,5.30 a
BRA\_CAX\_CON,0.79,0.74,0.73,0.7,0,0.3,1.9,122.9, 8.00 a,79.00 a,1.45,197,38.00 b,5.30 a
CAN\_TUR\_P39\_PRE,0.59,0.37,0.34,0.71,0.08,0.21,1.39,42.08, 1.00 a,98.00 a,1.58,200,23.40 a,5.30 a
CAN\_TUR\_P74,0.26,0.47,0.14,0.32,0.38,0.3,1.39,41.87, 1.00 a,98.00 a,1.6,200,16.20 a,6.70 a
CHN\_ARG\_GWS,0.42,0.32,0.27,0.51,0.47,0.01,0.01,63.51,17.70 b,46.00 b,0.7,172, 7.90 a,0.36 a
CHN\_HOR\_AFF,0.39,0.38,0.34,0.25,0.75,0,0.59,31.24, 8.00 a,83.00 a,1,200, 9.05 a,1.61 a
CHN\_YIN\_ST1,0.47,0.45,0.44,0.63,0.18,0.2,0.19,35.09,20.80 b,32.90 b,2.41,148,10.60 a,0.50 b
CRI\_TAM\_TOW,0.73,0.73,0.73,0.46,0.11,0.44,3.57,159.99,36.10 b,34.70 b,2.75,200,30.60 a,3.30 a
CZE\_BIL\_BIL,0.54,0.5,0.41,0.57,0.2,0.23,0.71,28.98,29.60 b,27.40 b,1.91,200,14.00 a,6.00 b
CZE\_KRT\_KRT,0.57,0.45,0.3,0.58,0.03,0.39,0.85,27,26.00 b,27.40 b,2.1,200,17.00 a,5.70 b
