Method;Calibration metric;Variable;Sum sq;Mean Sq;NumDF;DenDF;F.value;Pr(>F);sig
CHP;Ln-Ratio;Units;0.086;0.086;1;52.051;1.088;0.302;
CHP;Ln-Ratio;CM;0.196;0.098;2;44.433;1.241;0.299;
CHP;Slope;Units;0.074;0.074;1;25.274;0.368;0.55;
CHP;Slope;CM;0.238;0.119;2;40.068;0.591;0.558;
CHP;Slope (ln-ln);Units;0.001;0.001;1;12.35;0.02;0.89;
CHP;Slope (ln-ln);CM;0.137;0.069;2;22.131;0.913;0.416;
CHP;Z-Cor;Units;1.075;1.075;1;20.769;4.304;0.051;.
CHP;Z-Cor;CM;4.635;2.317;2;34.981;9.279;0.001;***
TD;Ln-Ratio;Units;0.049;0.049;1;26.72;0.407;0.529;
TD;Ln-Ratio;CM;0.141;0.071;2;16.643;0.58;0.571;
TD;Slope;Units;0.165;0.165;1;44.722;2.279;0.138;
TD;Slope;CM;0.17;0.085;2;14.837;1.168;0.338;
TD;Slope (ln-ln);Units;0.223;0.223;1;72.669;2.179;0.144;
TD;Slope (ln-ln);CM;0.145;0.072;2;29.275;0.708;0.501;
TD;Z-Cor;Units;0.077;0.077;1;26.073;0.284;0.598;
TD;Z-Cor;CM;0.017;0.009;2;17.409;0.032;0.969;
