,Study,Method,Species,Calibration material,Wood porosity,Diameter (cm)
1,"Alarcon $et\;\, al.$ 2005",CHP,"$Citrus\;\,limon$",whole plant,Diffuse porous,2.5
2,Ballester et al 2011,CHP,"$Citrus\;\,clementina$",whole plant,Diffuse porous,NA
3,"Barret $et\;\, al.$ 1995",CHP,"$Corymbia\;\,maculata$",without roots,Diffuse porous,NA
4,"Bleby $et\;\, al.$ 2004",CHP,"$Eucalyptus\;\,marginata$",whole plant,Diffuse porous,10
5,"Bleby $et\;\, al.$ 2004",HR,"$Eucalyptus\;\,marginata$",whole plant,Diffuse porous,10
6,Braun and Schmid 1999,TD,"$Vitis\;\,vinifera$",whole plant,Ring porous,3.75
7,"Burgess $et\;\, al.$ 2001",HR,"$Eucalyptus\;\,marginata$",whole plant,Diffuse porous,NA
8,"Bush $et\;\, al.$ 2010",TD,"$Populus\;\,fremontii$",stem segment,Diffuse porous,5.08
9,"Bush $et\;\, al.$ 2010",TD,"$Tilia\;\,cordata$",stem segment,Diffuse porous,4.83
10,Cain 2009,TD,"$Macaranga\;\,hypoleuca$",stem segment,Diffuse porous,82
11,Cain 2009,TD,"$Macaranga\;\,pearsonii$",stem segment,Diffuse porous,67
12,"Caspari $et\;\, al.$ 1993",CHP,"$Pyrus\;\,serotina$",whole plant,Diffuse porous,6.62
13,"Caterina $et\;\, al.$ 2013",TD,"$Juniperus\;\,virginiana$",stem segment,Tracheids,8
14,Chan 2015,TD,"$Abies\;\,concolor$",stem segment,Tracheids,6
15,"Cohen $et\;\, al.$ 1981",T-max,"$Platanus\;\,orientalis$",stem segment,Diffuse porous,6.7
16,"Cohen $et\;\, al.$ 1981",T-max,"$Populus\;\,alba$",stem segment,Diffuse porous,6.7
17,"Cohen $et\;\, al.$ 1998",T-max,"$Malus\;\,domestica$",whole plant,Diffuse porous,NA
18,"Dragoni $et\;\, al.$ 2005",CHP,"$Malus\;\,domestica$",whole plant,Diffuse porous,6.5
19,"Dye $et\;\, al.$ 1996",CHP,"$Pinus\;\,patula$",without roots,Tracheids,NA
20,"Fernandez $et\;\, al.$ 1999",CHP,"$Olea\;\,europaea$",stem segment,Diffuse porous,8.8
21,"Fernandez $et\;\, al.$ 1999",CHP,"$Olea\;\,europaea$",without roots,Diffuse porous,NA
22,"Fernandez $et\;\, al.$ 2006",CHP,"$Citrus\;\,sinensis$",stem segment,Diffuse porous,7.8
23,"Fernandez $et\;\, al.$ 2006",CHP,"$Citrus\;\,sinensis$",without roots,Diffuse porous,10.4
24,"Fernandez $et\;\, al.$ 2006",CHP,"$Olea\;\,europaea$",stem segment,Diffuse porous,8.2
25,"Fernandez $et\;\, al.$ 2006",CHP,"$Olea\;\,europaea$",without roots,Diffuse porous,9.8
26,"Fernandez $et\;\, al.$ 2006",CHP,"$Prunus\;\,domestica$",stem segment,Diffuse porous,8
27,"Fernandez $et\;\, al.$ 2006",CHP,"$Prunus\;\,domestica$",without roots,Diffuse porous,7
28,"Fuchs $et\;\, al.$ 2017",HFD,"$Acer\;\,pseudoplatanus$",stem segment,Diffuse porous,10.5646666666667
29,"Fuchs $et\;\, al.$ 2017",HFD,"$Fagus\;\,sylvatica$",stem segment,Diffuse porous,9.42142857142857
30,"Fuchs $et\;\, al.$ 2017",HFD,"$Tilia\;\,cordata$",stem segment,Diffuse porous,9.28666666666667
31,"Fuchs $et\;\, al.$ 2017",HR,"$Acer\;\,pseudoplatanus$",stem segment,Diffuse porous,NA
32,"Fuchs $et\;\, al.$ 2017",HR,"$Fagus\;\,sylvatica$",stem segment,Diffuse porous,NA
33,"Fuchs $et\;\, al.$ 2017",HR,"$Tilia\;\,cordata$",stem segment,Diffuse porous,NA
34,"Fuchs $et\;\, al.$ 2017",TD,"$Acer\;\,campestre$",stem segment,Diffuse porous,11.8085714285714
35,"Fuchs $et\;\, al.$ 2017",TD,"$Acer\;\,pseudoplatanus$",stem segment,Diffuse porous,10.8033333333333
36,"Fuchs $et\;\, al.$ 2017",TD,"$Fagus\;\,sylvatica$",stem segment,Diffuse porous,9.83066666666667
37,"Fuchs $et\;\, al.$ 2017",TD,"$Populus\;\,nigra$",stem segment,Diffuse porous,10.7666666666667
38,"Fuchs $et\;\, al.$ 2017",TD,"$Tilia\;\,cordata$",stem segment,Diffuse porous,9.406
39,"Gonzalez-Altozano $et\;\, al.$ 1998",CHP,"$Citrus\;\,reticulata$",whole plant,Diffuse porous,11.5
40,"Gonzalez-Altozano $et\;\, al.$ 1998",T-max,"$Citrus\;\,reticulata$",whole plant,Diffuse porous,11.5
41,Granier 1985,TD,"$Pinus\;\,nigra$",stem segment,Tracheids,4.5
42,Granier 1985,TD,"$Pseudotzuga\;\,menziesii$",stem segment,Tracheids,4.5
43,Granier 1985,TD,"$Quercus\;\,pedunculata$",stem segment,Ring porous,4.5
44,"Green $et\;\, al.$ 1988",CHP,"$Actinidia\;\,chinensis$",stem segment,Diffuse porous,5.25
45,"Green $et\;\, al.$ 1988",CHP,"$Actinidia\;\,chinensis$",whole plant,Diffuse porous,5.4
46,"Green $et\;\, al.$ 1988",CHP,"$Malus\;\,sylvestris$",whole plant,Diffuse porous,5.6
47,"Gutierrez $et\;\, al.$ 1994",SHB,"$Acacia\;\,koa$",whole plant,Diffuse porous,NA
48,"Gutierrez $et\;\, al.$ 1994",SHB,"$Coffea\;\,arabica$",whole plant,Diffuse porous,NA
49,"Gutierrez Soto $et\;\, al.$ 2012",HR,"$Carica\;\,papaya$",whole plant,Monocot,NA
50,"Hatton $et\;\, al.$ 1995",CHP,"$Eucalyptus\;\,populnea$",without roots,Diffuse porous,5.4
51,"Heilman $et\;\, al.$ 1990",SHB,"$Ligustrum\;\,japonicum$",whole plant,Diffuse porous,1
52,"Herbs $et\;\, al.$ 2007",TD,"$Acer\;\,campestre$",stem segment,Diffuse porous,NA
53,"Herbs $et\;\, al.$ 2007",TD,"$Crataegus\;\,monogina$",stem segment,Diffuse porous,NA
54,"Hultine $et\;\, al.$ 2010",TD,"$Tamarix\;\,ramossisima$",stem segment,Ring porous,4.16363636363636
55,"Intrigliolo $et\;\, al.$ 2009",T-max,"$Vitis\;\,vinifera$",whole plant,Ring porous,NA
