NA;Ln-Ratio;Ln-Ratio;Ln-Ratio;Slope;Slope;Slope;Slope (ln-ln);Slope (ln-ln);Slope (ln-ln);Z-Cor;Z-Cor;Z-Cor
Coefficients;Estimate;Conf. Int.;p-value;Estimate;Conf. Int.;p-value;Estimate;Conf. Int.;p-value;Estimate;Conf. Int.;p-value
Fixed effects;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
(Intercept);0.186;-0.052\: , \:0.425;0.129;0.957;0.779\: , \:1.135;<0.001;0.847;0.719\: , \:0.976;<0.001;2.317;1.982\: , \:2.653;2.317
Method (T-max);-0.186;-0.611\: , \:0.240;0.395;-0.273;-0.584\: , \:0.038;0.089;-0.085;-0.312\: , \:0.142;0.463;-0.082;-0.669\: , \:0.506;-0.082
Method (HR);-0.278;-0.510\: , \:-0.047;0.019;-0.043;-0.247\: , \:0.162;0.683;0.058;-0.106\: , \:0.221;0.488;0.16;-0.205\: , \:0.525;0.16
Method (HFD);-0.206;-0.409\: , \:-0.003;0.048;0.013;-0.167\: , \:0.193;0.886;0;-0.143\: , \:0.143;1;0.541;0.220\: , \:0.862;0.541
Method (SHB);-0.374;-0.843\: , \:0.095;0.124;-0.04;-0.365\: , \:0.285;0.809;0.184;-0.058\: , \:0.427;0.139;0.45;-0.170\: , \:1.070;0.45
Method (TD);-0.652;-0.847\: , \:-0.457;<0.001;-0.205;-0.368\: , \:-0.041;0.015;0.283;0.160\: , \:0.406;<0.001;-0.125;-0.423\: , \:0.173;-0.125
Method (TTD);-0.625;-0.941\: , \:-0.310;<0.001;-0.219;-0.503\: , \:0.066;0.134;0.203;-0.016\: , \:0.421;0.072;-0.372;-0.877\: , \:0.133;-0.372
CM (Whole plant);-0.028;-0.300\: , \:0.245;0.841;-0.127;-0.317\: , \:0.064;0.197;-0.139;-0.276\: , \:-0.003;0.05;-0.667;-1.034\: , \:-0.301;-0.667
CM (No-roots);-0.133;-0.394\: , \:0.128;0.319;-0.081;-0.298\: , \:0.135;0.463;-0.055;-0.213\: , \:0.104;0.503;-0.775;-1.172\: , \:-0.379;-0.775
Random effects;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
$\sigma^{2}$;NA;0.091;NA;NA;0.1;NA;NA;0.076;NA;NA;0.278;NA
$\tau_{00}$ Species;NA;0.013;NA;NA;0.004;NA;NA;0.013;NA;NA;0.04;NA
$\tau_{00}$ Study;NA;0.159;NA;NA;0.041;NA;NA;0.004;NA;NA;0.184;NA
$N_{Species}$;NA;65;NA;NA;65;NA;NA;65;NA;NA;65;NA
$N_{Study}$;NA;48;NA;NA;48;NA;NA;48;NA;NA;48;NA
$ICC_{Species}$;NA;0.049;NA;NA;0.029;NA;NA;0.137;NA;NA;0.08;NA
$ICC_{Study}$;NA;0.604;NA;NA;0.284;NA;NA;0.048;NA;NA;0.366;NA
Observations;NA;290;NA;NA;290;NA;NA;290;NA;NA;290;NA
