si_code,si_lat,si_long,si_biome,n_days_complete,n species,n trees
AUS\_CAN\_ST1\_EUC,-37.58,149.17,WOOD,337,1,12
AUS\_CAN\_ST2\_MIX,-37.58,149.17,WOOD,712,2,22
AUS\_CAN\_ST3\_ACA,-37.58,149.17,WOOD,409,1,12
AUS\_CAR\_THI\_CON,-38.38,146.68,TEMP,54,1,7
AUS\_ELL\_UNB,-36.78,146.58,TEMP,105,1,2
AUS\_MAR\_UBD,-37.69,145.56,TEMP,50,3,5
AUS\_MAR\_UBW,-37.89,145.57,TEMP,105,3,5
AUS\_WOM,-37.42,144.09,TEMP,2130,2,11
AUT\_PAT\_FOR,47.21,11.45,BOR,149,1,3
AUT\_PAT\_KRU,47.21,11.45,BOR,70,1,3
AUT\_PAT\_TRE,47.21,11.45,BOR,81,1,3
BRA\_CAM,-22.69,-45.52,TROP,79,1,5
BRA\_CAX\_CON,-1.79,-51.43,TROP,525,8,15
CAN\_TUR\_P39\_PRE,42.71,-80.36,TEMP,1021,1,18
CAN\_TUR\_P74,42.71,-80.35,TEMP,1997,1,16
CHN\_ARG\_GWS,41.38,89.94,DRY,174,1,2
CHN\_HOR\_AFF,42.72,122.37,WOOD,1366,1,16
CHN\_YIN\_ST1,42.45,85.72,DRY,105,1,5
CRI\_TAM\_TOW,10.39,-84.63,TROP,666,17,26
CZE\_BIL\_BIL,49.25,16.69,TEMP,238,1,6
CZE\_KRT\_KRT,49.32,16.75,TEMP,238,1,6
CZE\_LAN,48.68,16.95,TEMP,1093,3,17
CZE\_RAJ\_RAJ,49.44,16.7,TEMP,274,1,6
CZE\_SOB\_SOB,49.25,16.69,TEMP,655,1,6
CZE\_STI,49.04,17.97,TEMP,263,1,8
CZE\_UTE\_BPO,49.28,16.65,TEMP,234,1,6
DEU\_HIN\_OAK,53.33,13.19,TEMP,482,1,8
DEU\_HIN\_TER,53.33,13.19,TEMP,1052,2,16
DEU\_MER\_BEE\_NON,49.27,7.81,TEMP,495,1,8
DEU\_MER\_DOU\_NON,49.27,7.81,TEMP,491,1,7
DEU\_MER\_MIX\_NON,49.27,7.81,TEMP,1108,2,17
DEU\_STE\_2P3,53.1,13,TEMP,722,1,10
DEU\_STE\_4P5,53.1,13,TEMP,327,1,10
ESP\_ALT\_ARM,40.78,-2.33,WOOD,1990,3,15
ESP\_ALT\_HUE,40.79,-2.29,WOOD,967,2,8
ESP\_ALT\_TRI,40.8,-2.23,WOOD,1522,2,12
ESP\_CAN,41.43,2.07,WOOD,2317,4,21
ESP\_GUA\_VAL,40.9,-4.03,WOOD,2100,1,24
ESP\_LAS,28.31,-16.57,WOOD,1778,1,10
ESP\_MAJ\_MAI,39.94,-5.77,WOOD,978,1,6
ESP\_MON\_SIE\_NAT,41.12,-3.5,WOOD,1250,3,20
ESP\_RIN,40.6,-6.02,WOOD,502,1,8
ESP\_RON\_PIL,36.69,-5.02,TEMP,911,2,12
ESP\_TIL\_MIX,41.33,1.01,WOOD,3434,2,32
ESP\_TIL\_OAK,41.33,1.01,WOOD,717,1,10
ESP\_TIL\_PIN,41.33,1.01,WOOD,589,1,9
ESP\_VAL\_BAR,42.2,1.82,WOOD,837,1,12
ESP\_VAL\_SOR,42.2,1.81,WOOD,1109,1,13
ESP\_YUN\_C1,36.72,-4.97,WOOD,619,1,6
ESP\_YUN\_C2,36.72,-4.97,WOOD,288,1,6
FIN\_HYY\_SME,61.85,24.29,TEMP,34,2,4
