num_code,si_code,si_name,si_lat,si_long,si_elev,nspecies
1,ARG_MAZ,Mazaruca_Patagonia,-51.58,-72.29,550,1
2,ARG_TRE,Tres Marias,-51.32,-72.19,460,1
3,AUS_BRI_BRI,Britannia Creek,-37.87,145.85,707,1
4,AUS_CAN_ST1_EUC,Cann River,-37.58,149.17,180,1
5,AUS_CAN_ST2_MIX,Cann River,-37.58,149.17,180,2
6,AUS_CAN_ST3_ACA,Cann River,-37.58,149.17,180,1
7,AUS_CAR_THI_00F,Carrajung,-38.38,146.68,610,1
8,AUS_CAR_THI_0P0,Carrajung,-38.38,146.68,610,1
9,AUS_CAR_THI_0PF,Carrajung,-38.38,146.68,610,1
10,AUS_CAR_THI_CON,Carrajung,-38.38,146.68,610,1
11,AUS_CAR_THI_T00,Carrajung,-38.38,146.68,610,1
12,AUS_CAR_THI_T0F,Carrajung,-38.38,146.68,610,1
13,AUS_CAR_THI_TP0,Carrajung,-38.38,146.68,610,1
14,AUS_CAR_THI_TPF,Carrajung,-38.38,146.68,610,1
15,AUS_ELL_HB_HIG,Ella,-36.78,146.58,705,2
16,AUS_ELL_MB_MOD,Ella,-36.78,146.58,693,1
17,AUS_ELL_UNB,Ella,-36.78,146.58,737,1
18,AUS_KAR,Karijini NP,-22.62,118.22,710,1
19,AUS_MAR_HSD_HIG,Maroondah,-37.64,145.58,468,2
20,AUS_MAR_HSW_HIG,Maroondah,-37.65,145.57,297,2
21,AUS_MAR_MSD_MOD,Maroondah,-37.64,145.58,467,2
22,AUS_MAR_MSW_MOD,Maroondah,-37.65,145.57,261,2
23,AUS_MAR_UBD,Maroondah,-37.69,145.56,303,3
24,AUS_MAR_UBW,Maroondah,-37.89,145.57,336,3
25,AUS_RIC_EUC_ELE,Richmond NSW EucFACE,-33.62,150.74,23,1
26,AUS_WOM,WombatStateForest,-37.42,144.09,705,2
27,AUT_PAT_FOR,Patscherkofel,47.21,11.45,1950,1
28,AUT_PAT_KRU,Patscherkofel,47.21,11.45,2180,1
29,AUT_PAT_TRE,Patscherkofel,47.21,11.45,2110,1
30,AUT_TSC,Tschirgant south,47.23,10.84,750,1
31,BRA_CAM,Campos do Jordão,-22.69,-45.52,2000,1
32,BRA_CAX_CON,Caxiuana,-1.79,-51.43,15,8
33,BRA_SAN,Santa Virgínia (PESM),-23.28,-45.18,1000,4
34,CAN_TUR_P39_POS,TUR,42.71,-80.36,184,1
35,CAN_TUR_P39_PRE,TUR,42.71,-80.36,184,1
36,CAN_TUR_P74,TUR,42.71,-80.35,184,1
37,CHE_DAV_SEE,Davos,46.82,9.86,1650,1
38,CHE_LOT_NOR,Lotschental,46.39,7.76,1300,2
39,CHE_PFY_CON,Pfynwald,46.3,7.6,615,1
40,CHE_PFY_IRR,Pfynwald,46.3,7.6,615,1
41,CHN_ARG_GWD,Arghan,40.75,89.99,830,1
42,CHN_ARG_GWS,Arghan,41.38,89.94,830,1
43,CHN_HOR_AFF,Horqin,42.72,122.37,226,1
44,CHN_YIN_ST1,Yingbazar ,42.45,85.72,900,1
45,CHN_YIN_ST2_DRO,Yingbazar ,42.11,85.13,930,1
46,CHN_YIN_ST3_DRO,Yingbazar ,42.29,85.99,930,1
47,CHN_YUN_YUN,Yunxiao,23.92,117.42,0,2
48,COL_MAC_SAF_RAD,Macagual Universidad de la Amazonia,1.5,-75.36,360,1
49,CRI_TAM_TOW,TAMU Soltis Center,10.39,-84.63,600,17
50,CZE_BIK,Bik,49.49,18.53,875,1
51,CZE_BIL_BIL,Bilovice,49.25,16.69,320,1
52,CZE_KRT_KRT,Krtiny,49.32,16.75,480,1
53,CZE_LAN,Lanžhot,48.68,16.95,150,3
54,CZE_LIZ_LES,Liz,49.07,13.68,858,1
55,CZE_RAJ_RAJ,Rajec,49.44,16.7,600,1
56,CZE_SOB_SOB,Sobesice,49.25,16.69,320,1
57,CZE_STI,Stitna nad Vlari,49.04,17.97,550,1
58,CZE_UTE_BEE,Utechov,49.28,16.65,420,1
59,CZE_UTE_BNA,Utechov,49.28,16.65,390,1
60,CZE_UTE_BPO,Utechov,49.28,16.65,370,1
